zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.3862943611198906,4.564348191467836,7.95892649305011
0,0,0,1,1.3862943611198906,4.795790545596741,8.071218539969863
0,0,1,0,1.0986122886681098,4.110873864173311,8.434028950155469
0,0,0,1,1.3862943611198906,5.707110264748875,7.970394907191429
1,0,0,0,0.6931471805599453,3.9889840465642745,7.170888478512505
0,0,1,0,0.6931471805599453,3.258096538021482,7.836369760545124
0,1,0,0,1.3862943611198906,4.61512051684126,7.886457270977689
0,1,0,0,1.0986122886681098,4.51085950651685,8.77971129020447
0,1,0,0,0.6931471805599453,3.5553480614894135,7.201170883281678
0,0,0,1,1.3862943611198906,4.59511985013459,8.575650760987806
1,0,0,0,1.0986122886681098,6.398594934535208,8.974744612722734
0,1,0,0,0.6931471805599453,3.7376696182833684,7.534228326274089
0,0,1,0,1.3862943611198906,5.081404364984463,8.895766604056085
0,1,0,0,1.3862943611198906,6.16541785423142,8.003363058629947
0,0,1,0,1.3862943611198906,4.9344739331306915,8.006700845440367
0,1,0,0,0.6931471805599453,4.143134726391533,7.200424892944957
0,1,0,0,1.0986122886681098,5.017279836814924,8.006700845440367
1,0,0,0,0.6931471805599453,3.9318256327243257,7.0909098220799835
1,0,0,0,0.6931471805599453,3.4657359027997265,7.0909098220799835
1,0,0,0,1.0986122886681098,4.110873864173311,13.652992804936396
0,0,0,1,0.6931471805599453,3.8918202981106265,8.101980731853192
0,1,0,0,1.3862943611198906,4.04305126783455,7.266128779556451
1,0,0,0,0.6931471805599453,4.61512051684126,7.340186835320115
0,0,0,1,1.6094379124341003,5.993961427306569,8.79497643168877
0,0,1,0,0.6931471805599453,3.6375861597263857,7.650168700845001
0,0,1,0,1.3862943611198906,4.875197323201151,8.366602832783736
0,0,1,0,0.6931471805599453,3.4011973816621555,7.321849713788356
0,1,0,0,0.6931471805599453,3.713572066704308,13.652992804936396
1,0,0,0,1.0986122886681098,4.110873864173311,6.975413927455952
1,0,0,0,1.0986122886681098,4.189654742026425,7.269616749608169
1,0,0,0,1.0986122886681098,5.602118820879701,8.974744612722734
0,1,0,0,1.3862943611198906,4.02535169073515,6.90875477931522
1,0,0,0,1.0986122886681098,4.110873864173311,7.650168700845001
0,1,0,0,0.6931471805599453,3.044522437723423,7.00397413672268
0,1,0,0,0.6931471805599453,3.4965075614664802,7.099201743553092
0,1,0,0,1.0986122886681098,4.04305126783455,7.313886831633462
0,0,0,1,1.0986122886681098,4.31748811353631,8.25608813381491
0,1,0,0,1.3862943611198906,4.290459441148391,7.346655163176539
