zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,1,0,0,1.3862943611198906,5.484796933490655,8.77971129020447
1,0,0,0,1.0986122886681098,3.9318256327243257,8.101980731853192
1,0,0,0,1.0986122886681098,5.572154032177765,8.006700845440367
0,1,0,0,1.0986122886681098,3.9889840465642745,7.223295679562314
0,1,0,0,0.6931471805599453,3.4965075614664802,7.1785454837637
0,0,1,0,1.6094379124341003,5.342334251964811,8.922791623969637
0,0,0,1,1.0986122886681098,4.343805421853684,7.696667081526462
0,0,0,1,0.6931471805599453,3.8501476017100584,7.901377353792616
0,0,1,0,0.6931471805599453,3.713572066704308,8.343077871169383
0,1,0,0,1.0986122886681098,4.174387269895637,7.601402334583733
0,1,0,0,1.0986122886681098,4.51085950651685,7.937731775260109
1,0,0,0,1.3862943611198906,4.23410650459726,7.9966538754626075
0,0,1,0,1.0986122886681098,6.962243464266207,8.987321812850125
1,0,0,0,1.0986122886681098,3.8918202981106265,7.057036981697891
0,0,1,0,0.6931471805599453,4.59511985013459,7.741099090035366
1,0,0,0,1.0986122886681098,3.8918202981106265,7.00397413672268
0,1,0,0,1.0986122886681098,3.713572066704308,7.313886831633462
1,0,0,0,0.6931471805599453,3.713572066704308,7.1316985104669115
1,0,0,0,1.3862943611198906,4.219507705176107,7.8636512654486515
0,0,1,0,1.3862943611198906,4.672828834461906,7.563719668414366
0,1,0,0,0.6931471805599453,4.110873864173311,6.918695219020472
0,1,0,0,1.3862943611198906,4.290459441148391,7.438971592395862
1,0,0,0,1.0986122886681098,3.970291913552122,7.208600337960199
0,0,0,1,0.6931471805599453,3.6888794541139363,7.824445930877619
0,1,0,0,1.0986122886681098,4.143134726391533,7.57095858316901
1,0,0,0,1.3862943611198906,4.997212273764115,7.824445930877619
0,0,1,0,1.6094379124341003,4.983606621708336,7.824445930877619
0,0,1,0,1.0986122886681098,4.189654742026425,7.438971592395862
0,1,0,0,0.6931471805599453,4.02535169073515,7.099201743553092
1,0,0,0,1.0986122886681098,4.394449154672439,7.409136443920128
0,0,0,1,1.3862943611198906,5.017279836814924,9.018089684104343
0,0,1,0,0.6931471805599453,3.912023005428146,7.13966033596492
0,0,1,0,1.3862943611198906,5.187385805840755,8.761080103868347
0,1,0,0,1.0986122886681098,4.143134726391533,7.1459844677143876
0,1,0,0,1.3862943611198906,5.176149732573829,7.824445930877619
0,0,0,1,1.791759469228055,5.303304908059076,8.38958706681109
1,0,0,0,0.6931471805599453,3.713572066704308,13.710151153416941
0,0,0,1,1.6094379124341003,4.795790545596741,8.101980731853192
0,0,0,1,1.6094379124341003,5.0689042022202315,8.922791623969637
0,0,1,0,0.6931471805599453,4.727387818712341,8.77971129020447
1,0,0,0,1.3862943611198906,5.303304908059076,7.886457270977689
0,0,1,0,1.0986122886681098,4.02535169073515,7.783640596221253
0,1,0,0,0.6931471805599453,3.6888794541139363,7.0909098220799835
1,0,0,0,1.3862943611198906,4.61512051684126,7.3783837129967145
0,1,0,0,1.0986122886681098,4.007333185232471,7.170888478512505
0,0,0,1,0.6931471805599453,3.828641396489095,7.791935956938058
0,0,0,1,1.791759469228055,6.398594934535208,8.188966863648876
0,1,0,0,1.0986122886681098,4.189654742026425,7.293697720601438
0,0,1,0,1.3862943611198906,4.454347296253507,8.101980731853192
0,0,0,1,1.0986122886681098,4.663439094112067,8.612685172875459
1,0,0,0,1.0986122886681098,7.170888478512505,9.798182590890704
0,1,0,0,1.0986122886681098,3.6375861597263857,7.346655163176539
0,1,0,0,1.0986122886681098,4.394449154672439,7.0825485693553
0,1,0,0,1.0986122886681098,3.9318256327243257,7.438971592395862
0,0,1,0,1.0986122886681098,3.9318256327243257,13.710151153416941
1,0,0,0,1.0986122886681098,3.9318256327243257,7.280008252884188
0,1,0,0,1.6094379124341003,4.969813299576001,8.160803920954665
0,0,1,0,1.0986122886681098,4.02535169073515,7.244941546337007
0,1,0,0,0.6931471805599453,3.828641396489095,13.641158361294979
0,1,0,0,0.6931471805599453,4.02535169073515,13.76421831620775
1,0,0,0,1.0986122886681098,4.110873864173311,7.00397413672268
0,1,0,0,1.3862943611198906,4.2626798770413155,7.409136443920128
0,0,0,1,1.3862943611198906,4.290459441148391,7.919719760924575
1,0,0,0,1.3862943611198906,4.2626798770413155,7.313886831633462
0,1,0,0,1.3862943611198906,5.153291594497779,8.160803920954665
0,1,0,0,1.0986122886681098,3.9318256327243257,7.123672785204607
0,0,0,1,1.0986122886681098,4.30406509320417,7.661997558901893
0,0,1,0,1.0986122886681098,3.9318256327243257,7.00397413672268
1,0,0,0,1.0986122886681098,4.2626798770413155,6.90875477931522
0,1,0,0,1.0986122886681098,8.962007209588313,11.652696102959753
0,0,1,0,0.6931471805599453,3.9512437185814275,8.170751423757535
0,0,1,0,1.0986122886681098,4.23410650459726,7.9966538754626075
0,0,1,0,1.0986122886681098,4.2626798770413155,7.696667081526462
1,0,0,0,1.3862943611198906,4.919980925828125,8.033009498596668
1,0,0,0,1.0986122886681098,5.993961427306569,9.210440366976517
0,1,0,0,1.3862943611198906,4.110873864173311,7.739794458408701
0,0,0,1,0.6931471805599453,3.4339872044851463,8.294299608857235
0,1,0,0,1.0986122886681098,3.9318256327243257,7.00397413672268
0,1,0,0,1.3862943611198906,4.584967478670572,7.1785454837637
0,0,0,1,1.3862943611198906,4.418840607796598,8.294299608857235
1,0,0,0,1.3862943611198906,5.0369526024136295,7.576097340623111
0,1,0,0,1.0986122886681098,4.189654742026425,7.0909098220799835
0,0,0,1,0.6931471805599453,3.828641396489095,7.95892649305011
0,1,0,0,1.791759469228055,5.017279836814924,7.601402334583733
0,0,0,1,1.3862943611198906,4.852030263919617,8.716863386544805
0,1,0,0,1.3862943611198906,4.382026634673881,8.38958706681109
0,1,0,0,0.6931471805599453,3.713572066704308,13.617060838751888
0,1,0,0,1.0986122886681098,4.02535169073515,7.208600337960199
0,0,0,1,1.0986122886681098,4.143134726391533,7.8636512654486515
0,0,1,0,1.0986122886681098,4.3694478524670215,7.848153086199526
0,0,1,0,1.0986122886681098,4.248495242049359,7.741099090035366
1,0,0,0,1.0986122886681098,6.274762021241939,9.105090961257085
0,0,0,1,1.3862943611198906,5.123963979403259,8.08825472712243
0,0,1,0,0.6931471805599453,3.828641396489095,7.741099090035366
0,0,0,1,0.6931471805599453,3.713572066704308,8.160803920954665
0,0,0,1,1.0986122886681098,4.330733340286331,7.62608275807238
0,0,1,0,1.0986122886681098,3.8501476017100584,7.550135342488429
0,0,0,1,0.6931471805599453,3.9318256327243257,7.126087273299125
0,1,0,0,0.6931471805599453,4.110873864173311,13.676249640055394
0,0,0,1,1.3862943611198906,4.204692619390966,7.409136443920128
